id,city,state,city_state,address,geoid,county,county_state,zip,lookup_id,name,type,years,open_year,opened,2020_income_per_capita_employees,2020_all_employees,2020_all_annual_income
2002,Gilroy,California,"Gilroy, California","7150 Camino Arroyo, Gilroy, CA 95020",06085,Santa Clara County,"Santa Clara County, California",95020,S06085,Walmart Supercenter,Supercenter,29,1993,10/26/1993,684.07,1129499,165113675
2119,Milpitas,California,"Milpitas, California","301 Ranch Dr, Milpitas, CA 95035",06085,Santa Clara County,"Santa Clara County, California",95035,S06085,Walmart Supercenter,Supercenter,28,1994,9/27/1994,684.07,1129499,165113675
2280,Mountain View,California,"Mountain View, California","600 Showers Dr, Mountain View, CA 94040",06085,Santa Clara County,"Santa Clara County, California",94040,S06085,Walmart,Store,27,1995,11/1/1995,684.07,1129499,165113675
5435,San Jose,California,"San Jose, California","777 Story Rd, San Jose, CA 95122",06085,Santa Clara County,"Santa Clara County, California",95122,S06085,Walmart Supercenter,Supercenter,18,2004,8/25/2004,684.07,1129499,165113675
5766,Morgan Hill,California,"Morgan Hill, California","170 Cochrane Plz, Morgan Hill, CA 95037",06085,Santa Clara County,"Santa Clara County, California",95037,S06085,Walmart Supercenter,Supercenter,13,2009,9/16/2009,684.07,1129499,165113675
5884,San Jose,California,"San Jose, California","5095 Almaden Expy, San Jose, CA 95118",06085,Santa Clara County,"Santa Clara County, California",95118,S06085,Walmart Supercenter,Supercenter,10,2012,4/11/2012,684.07,1129499,165113675
3023,San Jose,California,"San Jose, California","4055 Evergreen Village Sq Ste 140, San Jose, CA 95135",06085,Santa Clara County,"Santa Clara County, California",95135,S06085,Neighborhood Market,Neighborhood Market,9,2013,1/30/2013,684.07,1129499,165113675
2486,San Jose,California,"San Jose, California","4080 Stevens Creek Blvd, San Jose, CA 95129",06085,Santa Clara County,"Santa Clara County, California",95129,S06085,Neighborhood Market,Neighborhood Market,8,2014,7/16/2014,684.07,1129499,165113675
3123,Santa Clara,California,"Santa Clara, California","3255 Mission College Blvd, Santa Clara, CA 95054",06085,Santa Clara County,"Santa Clara County, California",95054,S06085,Neighborhood Market,Neighborhood Market,8,2014,4/2/2014,684.07,1129499,165113675
4174,San Jose,California,"San Jose, California","1450 Monterey Rd, San Jose, CA 95112",06085,Santa Clara County,"Santa Clara County, California",95112,S06085,Neighborhood Market,Neighborhood Market,8,2014,12/10/2014,684.07,1129499,165113675
